"LATITUDE,N,32,10","LONGITUDE,N,32,10","BRIGHTNESS,N,32,10","SCAN,N,32,10","TRACK,N,32,10","ACQ_DATE,D","ACQ_TIME,C,4","SATELLITE,C,1","CONFIDENCE,N,6,0","VERSION,C,6","BRIGHT_T31,N,32,10","FRP,N,32,10","DAYNIGHT,C,1"
43.9070200000,-121.6663900000,300.1400000000,2.0600000000,1.4000000000,10/04/24,0442,T,19,6.1NRT,284.6900000000,19.4800000000,N
45.2505600000,-114.4379900000,308.7900000000,1.0100000000,1.0000000000,10/04/24,0442,T,61,6.1NRT,277.7200000000,11.9000000000,N
45.2487500000,-114.4503600000,328.9500000000,1.0100000000,1.0000000000,10/04/24,0442,T,100,6.1NRT,279.6100000000,31.3700000000,N
44.3443600000,-119.6971700000,316.7300000000,1.5700000000,1.2300000000,10/04/24,0442,T,94,6.1NRT,285.6100000000,33.5600000000,N
45.2556700000,-114.4651000000,325.2500000000,1.0100000000,1.0000000000,10/04/24,0442,T,100,6.1NRT,278.2100000000,26.4800000000,N
45.1247700000,-115.3931500000,306.0100000000,1.0400000000,1.0200000000,10/04/24,0442,T,66,6.1NRT,280.2200000000,11.5000000000,N
43.8914000000,-122.1538800000,310.2400000000,2.1900000000,1.4400000000,10/04/24,0442,T,80,6.1NRT,288.0000000000,34.3400000000,N
45.2603800000,-114.8742100000,311.8400000000,1.0200000000,1.0100000000,10/04/24,0442,T,83,6.1NRT,277.3900000000,15.5900000000,N
43.8919600000,-122.1596800000,306.8900000000,2.1900000000,1.4400000000,10/04/24,0442,T,70,6.1NRT,288.0000000000,29.4100000000,N
46.1902900000,-113.8886700000,314.5300000000,1.0000000000,1.0000000000,10/04/24,0442,T,89,6.1NRT,278.5300000000,16.8900000000,N
46.1989700000,-113.8913000000,307.4300000000,1.0000000000,1.0000000000,10/04/24,0442,T,71,6.1NRT,277.8000000000,12.2100000000,N
44.8101400000,-107.3842400000,311.6700000000,3.6800000000,1.8000000000,10/04/24,0911,A,83,6.1NRT,280.1100000000,97.0100000000,N
44.8022400000,-107.3908100000,306.4000000000,3.6800000000,1.8000000000,10/04/24,0911,A,68,6.1NRT,279.2000000000,73.6200000000,N
44.8005500000,-107.3488800000,300.8500000000,3.6600000000,1.7900000000,10/04/24,0911,A,34,6.1NRT,279.0900000000,51.3500000000,N
48.3967100000,-90.1314200000,307.0400000000,1.1300000000,1.0600000000,10/04/24,0909,A,70,6.1NRT,272.2300000000,15.9100000000,N
